Xpositon	Ypositon	Counts
-0.138462	-0.097436	2050.000000000
-0.148718	-0.097436	1600.000000000
-0.158974	-0.097436	1540.000000000
-0.169231	-0.097436	1760.000000000
-0.179487	-0.097436	1480.000000000
-0.189744	-0.097436	1500.000000000
-0.200000	-0.097436	1840.000000000
0.200000	-0.087179	3820.000000000
0.189744	-0.087179	3880.000000000
0.179487	-0.087179	2960.000000000
0.169231	-0.087179	3420.000000000
0.158974	-0.087179	2830.000000000
0.148718	-0.087179	2680.000000000
0.138462	-0.087179	2660.000000000
0.128205	-0.087179	2350.000000000
0.117949	-0.087179	2040.000000000
0.107692	-0.087179	2510.000000000
0.097436	-0.087179	2390.000000000
0.087179	-0.087179	2250.000000000
0.076923	-0.087179	2270.000000000
0.066667	-0.087179	1950.000000000
0.056410	-0.087179	1890.000000000
0.046154	-0.087179	2140.000000000
0.035897	-0.087179	2040.000000000
0.025641	-0.087179	1900.000000000
0.015385	-0.087179	1630.000000000
0.005128	-0.087179	1760.000000000
-0.005128	-0.087179	1940.000000000
-0.015385	-0.087179	2000.000000000
-0.025641	-0.087179	1960.000000000
-0.035897	-0.087179	1800.000000000
-0.046154	-0.087179	1720.000000000
-0.056410	-0.087179	1670.000000000
-0.066667	-0.087179	1760.000000000
-0.076923	-0.087179	1580.000000000
-0.087179	-0.087179	1620.000000000
-0.097436	-0.087179	2150.000000000
-0.107692	-0.087179	1720.000000000
-0.117949	-0.087179	2020.000000000
-0.128205	-0.087179	1990.000000000
-0.138462	-0.087179	1880.000000000
-0.148718	-0.087179	1710.000000000
-0.158974	-0.087179	1410.000000000
-0.169231	-0.087179	1600.000000000
-0.179487	-0.087179	1730.000000000
-0.189744	-0.087179	1770.000000000
-0.200000	-0.087179	1590.000000000
0.200000	-0.076923	2250.000000000
0.189744	-0.076923	2490.000000000
0.179487	-0.076923	2020.000000000
0.169231	-0.076923	2360.000000000
0.158974	-0.076923	2130.000000000
0.148718	-0.076923	2040.000000000
0.138462	-0.076923	2220.000000000
0.128205	-0.076923	1910.000000000
0.117949	-0.076923	2110.000000000
0.107692	-0.076923	2090.000000000
0.097436	-0.076923	2260.000000000
0.087179	-0.076923	2180.000000000
0.076923	-0.076923	1930.000000000
0.066667	-0.076923	1960.000000000
0.056410	-0.076923	1620.000000000
0.046154	-0.076923	2130.000000000
0.035897	-0.076923	1640.000000000
0.025641	-0.076923	1840.000000000
0.015385	-0.076923	2150.000000000
0.005128	-0.076923	2100.000000000
-0.005128	-0.076923	2120.000000000
-0.015385	-0.076923	1460.000000000
-0.025641	-0.076923	1710.000000000
-0.035897	-0.076923	1640.000000000
-0.046154	-0.076923	1890.000000000
-0.056410	-0.076923	1870.000000000
-0.066667	-0.076923	1740.000000000
-0.076923	-0.076923	2120.000000000
-0.087179	-0.076923	1950.000000000
-0.097436	-0.076923	2000.000000000
-0.107692	-0.076923	1970.000000000
-0.117949	-0.076923	2140.000000000
-0.128205	-0.076923	1530.000000000
-0.138462	-0.076923	1510.000000000
-0.148718	-0.076923	1880.000000000
-0.158974	-0.076923	1700.000000000
-0.169231	-0.076923	1760.000000000
-0.179487	-0.076923	1430.000000000
-0.189744	-0.076923	1390.000000000
-0.200000	-0.076923	1470.000000000
0.200000	-0.066667	2250.000000000
0.189744	-0.066667	2170.000000000
0.179487	-0.066667	2780.000000000
0.169231	-0.066667	1830.000000000
